Id,Price
4567,168514.73006133386
5925,129121.41816242388
960,145834.10662933253
3848,167867.13278250492
746,173672.05262730524
868,315749.2662733039
672,134512.48268185894
2471,196130.86170415615
4510,137431.6355182655
8354,272795.0001437346
6393,176141.46489067702
13270,230885.92982566037
5250,330126.4756548863
16751,173311.6638093827
11404,135538.91944635377
10588,287169.55022756127
14925,198556.00546965253
6791,242845.411139567
16097,196025.1440017501
16428,391433.9906258184
6945,278180.0898410839
3190,189387.53055498
15709,416816.1899014379
13155,159259.95999284644
7675,207113.70544393867
14686,249799.6823387961
609,164921.51512870716
11155,171670.65580268795
10869,207759.01451138104
15742,204219.44203918646
9245,182641.40646023268
3340,201684.3129281932
2359,271649.5121694676
8070,187281.2286043285
13707,138567.54979844042
16079,255851.757442727
15937,265070.0734554473
14090,172431.1963491298
9008,181823.11880921
16384,175010.7931378817
11657,210550.7452164328
13151,290475.63209932204
8990,222484.58459759346
11857,184929.6860524622
1565,162247.8130670793
8174,99184.00240111677
9247,235413.1157787391
10478,209432.52017585115
15509,163780.8185588665
8306,271661.09632232075
6642,171481.2707635124
7472,207003.16276114655
15989,132970.4936882498
13682,128655.16267280946
163,251350.3508439392
7076,179759.78786306555
7478,310883.5716068072
3029,187229.0070825258
1814,149728.82596410153
10057,134126.58822623792
15100,212675.4818283553
12694,223567.31628617967
6291,178999.6863313558
12603,206051.6150254483
3218,311327.3733522008
13456,133298.47954405833
10170,225120.38660860425
4530,163748.11372579986
13329,169014.38573137968
4820,160894.50335069382
10896,182291.38956219723
13416,126301.08673111616
2701,240917.4282801555
11265,319587.047912445
9189,336313.07542912365
1858,170586.47973713747
14536,248813.8785498083
6199,245860.78476231275
14730,159639.56902539442
7510,255587.86465264828
15505,166995.16150135963
7446,179040.8863407824
14016,189900.59568009898
14113,128076.56649587408
8721,302676.2500167486
6193,307418.7432240446
5717,188574.88454040195
5427,266046.80151550076
9520,472644.8515353442
6869,112976.71211432251
1658,163399.65418533527
6639,216989.5507083923
6283,193856.6545809061
6257,129501.08583676728
15235,190181.05617714502
902,262467.4237457055
8932,196059.41551564564
16469,387408.19841428223
2825,238949.1938195824
6450,369178.0602126664
11366,184166.81865356315
3801,321660.3674022723
11385,185713.80780209994
1079,198224.7607382201
3202,252006.69132211723
676,213746.87778118235
6185,293943.0042600515
7730,171034.40310939925
2573,187030.25923375707
10978,204616.10253337675
10962,264614.0786463951
8870,191583.89419643275
8496,174381.6040369338
5517,184293.07128794317
927,181508.0851938541
13675,185370.16701834035
1499,224271.00691975016
15536,319167.97830949613
8602,302253.2368748782
12137,387440.9770142832
9865,238536.20431630017
16353,267325.584283333
15908,213411.26784446696
3944,193104.78041875217
10359,200303.66854955454
15158,200927.26818540713
3259,256790.93175380502
7220,327430.86765723326
13843,223494.90180633884
16736,183060.57035433306
702,269994.0931058089
16401,142219.50662577827
12134,179003.15331163892
6918,218523.58557587478
11792,135643.96663287378
3798,180042.06000575397
10395,140303.83487657117
11099,154446.74595484333
7090,199733.90521911375
11260,202403.1013000526
9647,214168.16239904502
2903,385604.7726194181
2071,193888.3267927581
8604,210556.95221197497
9346,202098.8822136281
3945,201475.34741112217
3420,136542.223032479
10842,132339.60359061213
725,154557.64829582494
13931,196725.10475783105
16330,242383.33859758748
9066,423638.69032413024
3326,286547.7433201451
1556,270465.2046868302
6579,107001.04347970635
13877,175717.83976423406
9857,354005.3798151627
7302,292169.8365839559
5684,179253.6267696435
6513,228896.51547724623
11342,117238.15333455826
16561,234486.49200644554
6885,190872.80046710942
